Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2017,2017,2017,6,1,3,Re-Export,554,New Zealand,NZL,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,4790,,,,45312,,,0
H3,2017,2017,2017,6,1,4,Re-Import,554,New Zealand,NZL,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,74,,162,,4296,,,4
H3,2017,2017,2017,6,1,1,Import,579,Norway,NOR,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,349541,,152685,,7154565,,,0
H3,2017,2017,2017,6,1,2,Export,579,Norway,NOR,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,15673,,8939,,135047,,,0
H3,2017,2017,2017,6,1,1,Import,586,Pakistan,PAK,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",1,No Quantity,,,0,,,,15444,,,0
H3,2017,2017,2017,6,1,2,Export,586,Pakistan,PAK,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",1,No Quantity,,,0,,,,1146567,,,0
H3,2017,2017,2017,6,1,1,Import,600,Paraguay,PRY,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,36306,,15703,,434106,,,6
H3,2017,2017,2017,6,1,2,Export,600,Paraguay,PRY,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,5636,,4176,,86415,,,2
H3,2017,2017,2017,6,1,1,Import,620,Portugal,PRT,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,803556,,366760,,8457414,,,4
H3,2017,2017,2017,6,1,2,Export,620,Portugal,PRT,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,341136,,145206,,5887796,,,4
H3,2017,2017,2017,6,1,1,Import,642,Romania,ROU,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,640104,,293235,,6449971,,,4
H3,2017,2017,2017,6,1,2,Export,642,Romania,ROU,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,90691,,43591,,1145545,,,4
H3,2017,2017,2017,6,1,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,1319868,,554540,,12670093,,,4
H3,2017,2017,2017,6,1,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,68815,,38406,,763102,,,4
H3,2017,2017,2017,6,1,4,Re-Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,122,,65,,2123,,,0
H3,2017,2017,2017,6,1,1,Import,757,Switzerland,CHE,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,1191683,,576411,,26333218,,,4
